ID zákazníka,Segment,Priorita,Skóre konverze,Byl MAIN,Výzva 1 (kód),Výzva 1,Výzva 1 - důvod,Výzva 2 (kód),Výzva 2,Výzva 2 - důvod,Výzva 3 (kód),Výzva 3,Výzva 3 - důvod,Příjem splněn (podíl),Transakce splněny (podíl),Avg příjem (Kč),Avg transakce,Avg SPB login,Avg DC platby,Avg zůstatek (Kč),Věk,Pohlaví,Zákazník od roku,Datum spuštění
7494,SECONDARY,LOW,23.7,False,C1,Přijmout 15 000 Kč na účet,"transakce OK, chybí jen příjem; příjem 833 Kč/měs., chybí 14,167 Kč",C2,Zaplatit 10x kartou za měsíc,10 plateb — blízko cíle,C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,0.0,1.0,833.0,9.7,3.0,9.7,320394.0,80,F,2023,2026-06-15
6619,SECONDARY,HIGH,92.0,True,C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",věk 25 — typický uživatel streamingu; aktivní kartou — přechod snadný,C5,Vložit 10 000 Kč do investic,věk 25 let; nemá investiční produkt,,,,0.67,1.0,27347.0,41.3,9.3,36.7,19907.0,25,F,2023,2026-06-15
213,SECONDARY,MEDIUM,43.5,True,C1,Přijmout 15 000 Kč na účet,"dříve byl MAIN; transakce OK, chybí jen příjem",C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C5,Vložit 10 000 Kč do investic,"zůstatek 434,560 Kč; nemá investiční produkt",0.17,1.0,0.0,10.7,10.0,10.7,434560.0,55,F,2025,2026-06-15
9858,SECONDARY,MEDIUM,26.3,False,C5,Vložit 10 000 Kč do investic,"zůstatek 536,229 Kč; věk 41 let",C1,Přijmout 15 000 Kč na účet,"transakce OK, chybí jen příjem; příjem 0 Kč/měs., chybí 15,000 Kč",C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,0.0,1.0,0.0,14.3,0.0,14.0,536229.0,41,F,2020,2026-06-15
6728,SECONDARY,MEDIUM,42.1,False,C1,Přijmout 15 000 Kč na účet,"transakce OK, chybí jen příjem; příjem 4,000 Kč/měs., chybí 11,000 Kč",C5,Vložit 10 000 Kč do investic,"zůstatek 507,155 Kč; věk 44 let",C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,0.0,1.0,4000.0,16.3,4.3,16.3,507155.0,44,F,2025,2026-06-15
860,SECONDARY,LOW,18.8,False,C1,Přijmout 15 000 Kč na účet,"příjem 6,111 Kč/měs., chybí 8,889 Kč",C2,Zaplatit 10x kartou za měsíc,0 plateb kartou; má příjem — může platit kartou,C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",věk 26 — typický uživatel streamingu; předplatné zatím není přes banku,0.0,0.33,6111.0,1.0,4.5,0.3,754.0,26,M,2022,2026-06-15
6165,SECONDARY,MEDIUM,36.2,False,C2,Zaplatit 10x kartou za měsíc,kartu nepoužívá; má příjem — může platit kartou,C3,Nastavit trvalý příkaz na energie nebo telco,pravděpodobně platí domácnost; energie/telco zatím není přes banku,C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",věk 42 — typický uživatel streamingu; předplatné zatím není přes banku,1.0,0.0,30667.0,0.0,1.7,0.0,1193.0,42,M,2022,2026-06-15
4603,SECONDARY,LOW,7.0,False,C1,Přijmout 15 000 Kč na účet,"příjem 867 Kč/měs., chybí 14,133 Kč",C3,Nastavit trvalý příkaz na energie nebo telco,pravděpodobně platí domácnost; energie/telco zatím není přes banku,C2,Zaplatit 10x kartou za měsíc,kartu nepoužívá,0.0,0.0,867.0,1.0,5.3,0.0,244.0,43,F,2023,2026-06-15
1535,SECONDARY,LOW,21.2,False,C1,Přijmout 15 000 Kč na účet,"transakce OK, chybí jen příjem; příjem 4,003 Kč/měs., chybí 10,997 Kč",C2,Zaplatit 10x kartou za měsíc,4 plateb kartou,C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",věk 23 — typický uživatel streamingu; aktivní kartou — přechod snadný,0.0,0.67,4003.0,7.0,4.0,3.7,-72.0,23,F,2022,2026-06-15
8244,SECONDARY,LOW,15.2,False,C1,Přijmout 15 000 Kč na účet,"příjem 6,500 Kč/měs., chybí 8,500 Kč",C2,Zaplatit 10x kartou za měsíc,kartu nepoužívá; má příjem — může platit kartou,C3,Nastavit trvalý příkaz na energie nebo telco,pravděpodobně platí domácnost; energie/telco zatím není přes banku,0.0,0.0,6500.0,0.0,0.0,0.0,517.0,56,F,2022,2026-06-15
